Cidade,Ano,Fonte Energia,Indústria Predominante,Clima,Consumo MWh,Custo Unitário USD,Emissoes CO2 Ton,Perc Energia Renovavel,Residencias Atendidas,Investimento Infra Bilhoes,Emissão CO2,População Cidade
Munique,2016,Carvão,Mineração,Frio,17731,14,435712,"0,4214",374655,3066,2425547,9499224
Mumbai,2020,Hidrelétrica,Manufatura,Desértico,41057,6,137286,"0,8609",132771,265,727797,18023478
Nova Délhi,2022,Carvão,Financeiro,Mediterrâneo,41537,12,255059,"0,7808",272151,3645,10101585,3845818
Pequim,2019,Hidrelétrica,Agronegócio,Tropical,17997,22,223914,"0,0719",212434,261,2299129,13945890
Xangai,2015,Carvão,Tecnologia,Desértico,46696,1,252280,"0,7761",797660,1361,921193,4390372
Tóquio,2019,Solar,Mineração,Tropical,20234,11,12176,"0,6169",635049,3211,1867521,4611393
Osaka,2021,Solar,Tecnologia,Frio,8796,2,95735,"0,8463",962333,3098,1692599,2197574
Londres,2022,Gás Natural,Tecnologia,Tropical,34015,17,124031,"0,4241",121776,885,5535786,11662044
Paris,2021,Hidrelétrica,Financeiro,Tropical,38712,25,97842,"0,1471",747660,1451,7743759,10357808
Toronto,2022,Nuclear,Manufatura,Desértico,21193,13,468942,"0,3839",94027,3288,2231209,19815646
Vancouver,2022,Gás Natural,Turismo,Desértico,30442,12,400078,"0,4624",369788,2353,6181944,12611810
Sydney,2019,Nuclear,Agronegócio,Tropical,27344,5,196266,"0,2833",697707,1591,467146,14136999
Melbourne,2019,Carvão,Tecnologia,Temperado,1520,7,106409,"0,5344",424376,206,82938,3459540
Cidade do México,2016,Eólica,Manufatura,Tropical,47785,25,220828,"0,2317",590942,1947,11561025,19290090
Moscou,2017,Nuclear,Agronegócio,Mediterrâneo,10893,9,51691,"0,8582",952548,443,1157981,18225075
Nova York,2018,Solar,Agronegócio,Desértico,15159,21,468715,"0,4094",964403,4429,3108924,1690712
Los Angeles,2016,Eólica,Tecnologia,Mediterrâneo,9803,15,274770,"0,5769",537598,2391,1445149,14194407
São Paulo,2023,Carvão,Tecnologia,Desértico,44187,16,285909,"0,5228",407018,4696,4860641,14590423
Rio de Janeiro,2023,Eólica,Tecnologia,Mediterrâneo,38918,16,365257,"0,1289",369066,1145,5751392,9905446
Berlim,2019,Solar,Manufatura,Desértico,38418,11,223150,"0,4364",834957,4707,1394533,14957886
Munique,2018,Eólica,Tecnologia,Temperado,4557,15,390894,"0,6103",525093,2694,559947,6652760
Mumbai,2015,Nuclear,Mineração,Tropical,25552,11,61331,"0,5176",495410,596,4808715,9811235
Nova Délhi,2023,Gás Natural,Turismo,Frio,28896,2,496564,"0,7109",29162,3679,6451148,9881497
Pequim,2017,Carvão,Turismo,Desértico,11881,14,361387,"0,8914",216907,4257,2305765,4748979
Xangai,2015,Eólica,Tecnologia,Tropical,30050,13,367641,"0,1985",148855,3408,2504808,19893445
Tóquio,2015,Eólica,Financeiro,Desértico,24924,15,166582,"0,4966",458860,3047,468518,6115013
Osaka,2023,Solar,Mineração,Frio,47645,9,417489,"0,7455",72359,3046,6335328,16982045
Londres,2015,Carvão,Tecnologia,Temperado,11399,25,94022,"0,4087",504471,1559,2121367,10397230
Paris,2019,Nuclear,Manufatura,Tropical,18593,15,165121,"0,3048",421367,2701,1974361,10384775
Toronto,2017,Solar,Turismo,Desértico,7469,6,491128,"0,4213",983920,4365,375973,685036
Vancouver,2015,Nuclear,Mineração,Mediterrâneo,27840,8,330154,"0,3127",701039,3834,1180088,18982532
Sydney,2015,Hidrelétrica,Manufatura,Temperado,41807,19,473856,"0,7277",956237,3657,350607,17804617
Melbourne,2022,Eólica,Financeiro,Temperado,25494,22,273613,"0,7327",542199,934,3029347,18821307
Cidade do México,2020,Carvão,Manufatura,Mediterrâneo,554,7,10239,"0,1771",511193,472,90873,15657591
Moscou,2020,Eólica,Tecnologia,Temperado,13916,24,1888,"0,4356",228525,308,97055,8951161
Nova York,2018,Gás Natural,Financeiro,Frio,23484,7,208838,"0,6199",534705,153,1644226,1024402
Los Angeles,2022,Carvão,Financeiro,Desértico,23488,8,262402,"0,7865",462528,4775,1209377,8846247
São Paulo,2023,Gás Natural,Financeiro,Frio,8624,21,409915,"0,3317",207689,2851,2081204,12035819
Rio de Janeiro,2018,Hidrelétrica,Agronegócio,Temperado,34450,23,424181,"0,7998",614976,1251,1933876,5413712
Berlim,2023,Eólica,Agronegócio,Mediterrâneo,36168,15,45921,"0,6253",430891,2931,5784369,13428495
Munique,2021,Nuclear,Mineração,Tropical,9128,7,349793,"0,5476",819752,448,795155,12668156
Mumbai,2015,Hidrelétrica,Manufatura,Frio,28979,24,208300,"0,3398",456713,1529,3672064,8346065
Nova Délhi,2022,Hidrelétrica,Manufatura,Temperado,9471,2,417347,"0,5203",111403,4253,653613,13403181
Pequim,2023,Gás Natural,Manufatura,Temperado,49955,19,467831,"0,1813",753043,261,2755722,5954416
Xangai,2022,Gás Natural,Financeiro,Frio,44933,24,460645,"0,8963",241432,3992,4339572,19227264
Tóquio,2022,Nuclear,Turismo,Frio,40775,1,92076,"0,4982",919918,3266,4502616,15193930
Osaka,2018,Hidrelétrica,Financeiro,Mediterrâneo,39741,8,465139,"0,4015",338697,176,7845624,13131003
Londres,2021,Hidrelétrica,Manufatura,Frio,33351,22,5903,"0,7126",277997,4744,5552326,14274472
Paris,2019,Eólica,Mineração,Frio,7596,6,461145,"0,5647",475816,839,199634,5922046
Toronto,2021,Hidrelétrica,Turismo,Mediterrâneo,18142,18,152597,"0,8972",472360,285,1173125,16524715
Vancouver,2021,Gás Natural,Tecnologia,Desértico,34104,8,256131,"0,4068",213226,2594,6710416,14178881
Sydney,2016,Eólica,Tecnologia,Temperado,38337,9,438761,"0,5652",982067,4181,411006,3410159
Melbourne,2021,Eólica,Agronegócio,Mediterrâneo,3661,17,214627,"0,1332",740829,2918,153468,18554288
Cidade do México,2022,Gás Natural,Agronegócio,Temperado,47582,5,120253,"0,6168",481754,537,11742765,8754296
Moscou,2019,Carvão,Turismo,Mediterrâneo,37891,7,252743,"0,8654",488502,4774,9294708,11960651
Nova York,2023,Eólica,Manufatura,Mediterrâneo,20501,17,5446,"0,1926",100603,4053,880562,16843561
Los Angeles,2021,Hidrelétrica,Mineração,Frio,3077,23,212149,"0,4121",390024,735,367648,19182998
São Paulo,2017,Eólica,Turismo,Mediterrâneo,5252,22,378554,"0,2761",954357,1243,1174932,9817844
Rio de Janeiro,2018,Hidrelétrica,Turismo,Tropical,43419,7,307003,"0,1302",153841,4489,2718851,6466077
Berlim,2021,Eólica,Turismo,Frio,40707,23,24801,"0,0217",351526,139,5456315,10136524
Munique,2021,Solar,Tecnologia,Tropical,11405,14,236599,"0,8439",811724,1054,356839,16711379
Mumbai,2023,Solar,Financeiro,Mediterrâneo,44759,13,121788,"0,1332",237484,1979,9308681,10973864
Nova Délhi,2017,Nuclear,Turismo,Desértico,33025,18,421176,"0,5174",696494,3101,2344428,11513502
Pequim,2021,Gás Natural,Agronegócio,Mediterrâneo,15985,13,174948,"0,3353",802548,2478,3478343,15197920
Xangai,2015,Eólica,Turismo,Frio,10148,14,347324,"0,1595",423198,1312,2220087,19220078
Tóquio,2021,Gás Natural,Tecnologia,Desértico,11511,15,319739,"0,4309",143531,369,2018449,5244236
Osaka,2019,Solar,Mineração,Temperado,41085,15,449013,"0,6387",76027,3556,155533,18777534
Londres,2016,Hidrelétrica,Agronegócio,Temperado,20043,14,143017,"0,4509",422066,1605,2367602,18256517
Paris,2022,Nuclear,Financeiro,Temperado,32007,25,203941,"0,8546",313943,752,7744584,17752752
Toronto,2018,Solar,Tecnologia,Tropical,28900,2,325615,"0,8965",10596,4367,6169879,15968594
Vancouver,2018,Eólica,Manufatura,Mediterrâneo,4774,16,434102,"0,4605",805071,3432,356192,16759326
Sydney,2021,Eólica,Financeiro,Frio,34152,12,246950,"0,2763",847604,228,3077252,16064268
Melbourne,2017,Carvão,Turismo,Mediterrâneo,34553,8,107718,"0,1458",301964,196,570047,13414609
Cidade do México,2019,Nuclear,Agronegócio,Frio,14530,14,351942,"0,2978",113854,682,545875,12787261
Moscou,2022,Solar,Manufatura,Mediterrâneo,27973,13,180977,"0,4721",308963,843,6085533,15143535
Nova York,2020,Solar,Turismo,Mediterrâneo,39311,19,158456,"0,5608",439506,4376,2243388,2968751
Los Angeles,2017,Gás Natural,Turismo,Tropical,25723,8,327048,"0,2053",277267,959,2893888,1246032
São Paulo,2022,Gás Natural,Tecnologia,Desértico,12388,11,120302,"0,7392",482237,1192,881079,3379151
Rio de Janeiro,2023,Hidrelétrica,Agronegócio,Desértico,19543,24,114816,"0,4328",177179,3057,1827237,16745422
Berlim,2019,Carvão,Financeiro,Frio,43075,12,322649,"0,5228",84187,989,5545963,15103388
Munique,2021,Carvão,Manufatura,Tropical,20799,21,146003,"0,8133",252084,3787,2713446,19986505
Mumbai,2019,Nuclear,Turismo,Frio,24899,2,468852,"0,6188",230272,3739,1344385,9078141
Nova Délhi,2018,Nuclear,Turismo,Mediterrâneo,31540,23,316310,"0,5444",796222,2942,7317227,13528382
Pequim,2019,Hidrelétrica,Tecnologia,Frio,30019,12,48871,"0,8329",785577,1442,5569711,5940353
Xangai,2021,Solar,Tecnologia,Desértico,21062,17,388160,"0,4608",211612,4697,3994921,6433617
Tóquio,2016,Nuclear,Financeiro,Frio,24707,17,69344,"0,0517",364625,2534,5433055,14989982
Osaka,2023,Hidrelétrica,Financeiro,Desértico,4409,12,466086,"0,5976",72948,466,297875,9938086
Londres,2015,Hidrelétrica,Agronegócio,Desértico,10891,2,209540,"0,4366",968005,121,2657623,19181429
Paris,2020,Nuclear,Manufatura,Temperado,2438,19,47193,"0,6342",263805,161,27471,10211694
Toronto,2019,Solar,Agronegócio,Temperado,6109,21,48947,"0,6672",976444,2451,648032,6663473
Vancouver,2023,Gás Natural,Tecnologia,Mediterrâneo,28643,21,438537,"0,6946",144989,2608,319875,10169118
Sydney,2023,Carvão,Financeiro,Desértico,36030,8,186250,"0,1251",753271,2267,6260873,7325091
Melbourne,2023,Solar,Turismo,Tropical,3982,5,14855,"0,8321",231325,1595,263175,19062255
Cidade do México,2023,Hidrelétrica,Mineração,Temperado,28450,5,481277,"0,5888",498289,283,6655167,19075624
Moscou,2018,Solar,Financeiro,Frio,3479,13,65745,"0,5278",407398,4022,174589,9473370
Nova York,2016,Hidrelétrica,Agronegócio,Desértico,10931,15,330642,"0,8491",638783,2288,1064965,18629539
Los Angeles,2020,Gás Natural,Tecnologia,Temperado,36376,24,300519,"0,0172",744076,3085,8206988,4995843
São Paulo,2022,Hidrelétrica,Tecnologia,Tropical,13018,15,319346,"0,6672",635611,1409,243468,19620086
Rio de Janeiro,2015,Eólica,Tecnologia,Mediterrâneo,29810,24,405451,"0,7862",214567,1598,2235629,14909599
Berlim,2022,Eólica,Agronegócio,Frio,19731,1,408778,"0,8513",348606,1831,3044576,1387239
Munique,2021,Eólica,Financeiro,Tropical,19192,1,478043,"0,1703",315542,4207,2623239,12674780
Mumbai,2015,Gás Natural,Turismo,Mediterrâneo,16551,9,123998,"0,3301",537837,2952,1670905,4579830
Nova Délhi,2018,Solar,Turismo,Frio,4467,12,45220,"0,7896",184693,2426,341594,11505712
Pequim,2022,Nuclear,Manufatura,Mediterrâneo,17068,9,190897,"0,4545",962039,1868,1063975,5856979
Xangai,2021,Eólica,Financeiro,Frio,14197,1,221889,"0,6299",347723,3937,1371967,2312916
Tóquio,2015,Solar,Agronegócio,Tropical,32745,6,306621,"0,7271",879538,405,3931011,16271536
Osaka,2015,Nuclear,Mineração,Desértico,4810,21,489511,"0,1367",586397,1697,268805,5551883
Londres,2019,Eólica,Financeiro,Desértico,24250,11,450343,"0,8644",714027,1316,4960791,12891759
Paris,2015,Carvão,Manufatura,Temperado,18507,18,274143,"0,2993",594483,2967,3136106,14359449
Toronto,2019,Solar,Mineração,Temperado,24525,5,425906,"0,4758",121110,3077,565524,19199591
Vancouver,2023,Eólica,Turismo,Frio,14477,6,464162,"0,3426",905348,986,2076997,9668148
Sydney,2021,Nuclear,Tecnologia,Frio,40462,23,385869,"0,6024",412357,858,1028123,4310008
Melbourne,2018,Carvão,Agronegócio,Mediterrâneo,4306,17,408291,"0,8099",837416,4823,776088,3623701
Cidade do México,2015,Hidrelétrica,Manufatura,Frio,23483,18,86685,"0,7404",758461,3636,1050667,18119847
Moscou,2020,Gás Natural,Turismo,Tropical,15384,19,177583,"0,1254",505318,3672,2733822,11503093
Nova York,2017,Carvão,Mineração,Mediterrâneo,31567,2,197597,"0,5901",839431,2259,5779554,9880470
Los Angeles,2018,Eólica,Agronegócio,Mediterrâneo,25406,22,295159,"0,0504",737975,1339,4037801,10897652
São Paulo,2018,Eólica,Manufatura,Tropical,28760,15,75122,"0,5045",168172,3037,2635758,11631996
Rio de Janeiro,2023,Gás Natural,Tecnologia,Frio,28352,23,140964,"0,8113",808223,1613,1179634,1933184
Berlim,2021,Hidrelétrica,Financeiro,Frio,31373,13,222749,"0,4118",268509,1245,172765,12635173
Munique,2016,Gás Natural,Agronegócio,Tropical,17532,15,329024,"0,8725",242355,976,3854506,8279853
Mumbai,2022,Carvão,Mineração,Temperado,41775,21,373055,"0,3925",698864,1032,5957757,7444869
Nova Délhi,2018,Carvão,Mineração,Frio,45787,18,198324,"0,4117",933413,3992,10734294,977072
Pequim,2023,Eólica,Turismo,Desértico,26719,25,345445,"0,2063",344229,3429,2360132,8410130
Xangai,2018,Solar,Tecnologia,Frio,33993,2,211863,"0,8284",868964,293,954687,10674279
Tóquio,2022,Eólica,Turismo,Tropical,36406,24,52881,"0,5404",878601,3328,7497686,15532177
Osaka,2016,Nuclear,Financeiro,Desértico,14781,7,78171,"0,3752",318188,253,3137444,13886980
Londres,2021,Solar,Manufatura,Tropical,43735,8,298133,"0,4503",442227,3095,6500711,6721718
Paris,2015,Nuclear,Manufatura,Tropical,15294,14,4604,"0,2391",920843,2454,1128937,1980051
Toronto,2018,Carvão,Agronegócio,Mediterrâneo,48047,16,256774,"0,8445",262938,30,1726319,10139694
Vancouver,2023,Carvão,Manufatura,Mediterrâneo,35858,9,52088,"0,1449",361929,3903,7151128,15075980
Sydney,2016,Nuclear,Manufatura,Mediterrâneo,37069,25,363275,"0,3409",215542,1463,4424648,17097730
Melbourne,2018,Nuclear,Mineração,Mediterrâneo,18526,6,484635,"0,5561",904610,2768,3154891,19159803
Cidade do México,2019,Eólica,Financeiro,Desértico,26994,13,456816,"0,1782",322724,3563,146429,17023110
Moscou,2018,Solar,Tecnologia,Tropical,42040,8,237205,"0,3656",806589,712,857119,10778311
Nova York,2018,Eólica,Manufatura,Temperado,39956,18,287092,"0,5039",88130,1434,1406947,4533703
Los Angeles,2023,Carvão,Financeiro,Temperado,41235,19,369239,"0,4968",394122,508,1306172,6426786
São Paulo,2015,Solar,Agronegócio,Desértico,16856,9,419622,"0,8305",723963,285,3522203,3010679
Rio de Janeiro,2019,Gás Natural,Tecnologia,Temperado,1315,2,126968,"0,6036",679401,3217,71456,8693190
Berlim,2017,Eólica,Agronegócio,Mediterrâneo,32260,7,267721,"0,2443",663634,163,2786518,3748420
Munique,2016,Hidrelétrica,Turismo,Tropical,34729,8,20916,"0,3929",825513,2184,5103805,6449971
Mumbai,2017,Solar,Mineração,Desértico,35887,15,220582,"0,5054",640138,86,7392932,17981468
Nova Délhi,2015,Gás Natural,Manufatura,Desértico,20900,11,453178,"0,2503",58474,4428,1862867,8732630
Pequim,2022,Carvão,Manufatura,Mediterrâneo,3743,24,5192,"0,1383",28553,1036,921515,703791
Xangai,2023,Hidrelétrica,Turismo,Frio,37211,17,318052,"0,4834",220030,3127,1847191,2463789
Tóquio,2020,Eólica,Tecnologia,Temperado,13610,9,420604,"0,0605",42330,3938,3268791,12004045
Osaka,2017,Carvão,Manufatura,Desértico,25479,7,85436,"0,6653",516684,683,5925589,15187132
Londres,2021,Solar,Financeiro,Mediterrâneo,9509,11,35142,"0,6037",623881,579,221763,9970865
Paris,2015,Nuclear,Manufatura,Mediterrâneo,33144,24,285198,"0,3967",70852,1107,4494176,16139487
Toronto,2022,Eólica,Turismo,Tropical,8516,6,74088,"0,8568",693786,26,76940,5903131
Vancouver,2016,Nuclear,Financeiro,Desértico,1926,16,115430,"0,5428",366856,272,479444,2249554
Sydney,2020,Eólica,Manufatura,Mediterrâneo,8824,16,278651,"0,3628",151280,1453,148622,12868170
Melbourne,2021,Solar,Financeiro,Temperado,34397,23,494137,"0,3942",603679,2794,7653961,12430243
Cidade do México,2023,Eólica,Agronegócio,Tropical,47436,13,225947,"0,2476",737726,2745,4215047,1225236
Moscou,2022,Solar,Tecnologia,Desértico,39096,18,295174,"0,2859",268743,1498,9126552,3479238
Nova York,2021,Nuclear,Mineração,Tropical,26230,19,216406,"0,1235",307154,452,5758731,19035008
Los Angeles,2017,Gás Natural,Mineração,Desértico,45939,1,8077,"0,8225",639667,825,805603,12760853
São Paulo,2016,Solar,Financeiro,Temperado,28041,11,287264,"0,8058",606714,2408,5282785,777799
Rio de Janeiro,2020,Carvão,Financeiro,Tropical,7894,17,131718,"0,7905",703080,3224,1011139,2217596
Berlim,2016,Gás Natural,Manufatura,Tropical,39134,14,385750,"0,8201",990840,2341,1243929,4708583
Munique,2018,Gás Natural,Turismo,Frio,11991,2,312858,"0,7148",788624,871,2774925,3598578
Mumbai,2021,Gás Natural,Tecnologia,Frio,30854,9,173345,"0,7955",135820,1128,1798343,2853929
Nova Délhi,2020,Gás Natural,Turismo,Tropical,12977,7,451545,"0,3706",133384,3579,2803948,15922977
Pequim,2017,Nuclear,Tecnologia,Mediterrâneo,46049,2,268913,"0,0116",896077,1957,10022759,12014948
Xangai,2017,Carvão,Financeiro,Tropical,8557,24,385587,"0,5513",56702,1927,1509812,14261883
Tóquio,2019,Gás Natural,Financeiro,Desértico,34093,21,102235,"0,3333",860882,1834,7110918,4275062
Osaka,2021,Solar,Mineração,Frio,9791,7,344029,"0,3028",352910,286,103832,14384441
Londres,2017,Gás Natural,Agronegócio,Frio,46194,15,223451,"0,7069",552668,3205,1763342,14982479
Paris,2019,Solar,Manufatura,Temperado,31715,16,366191,"0,6116",844676,2103,3926176,15757916
Toronto,2015,Nuclear,Manufatura,Desértico,21263,13,20830,"0,3617",917357,3645,185133,6173689
Vancouver,2017,Nuclear,Turismo,Temperado,44576,6,286396,"0,7839",463298,379,3326973,2382406
Sydney,2018,Hidrelétrica,Tecnologia,Desértico,44470,6,308275,"0,0293",252964,73,5958413,18659367
Melbourne,2020,Solar,Mineração,Desértico,44213,24,255737,"0,1492",77869,360,2332542,17425069
Cidade do México,2018,Eólica,Financeiro,Desértico,35906,9,139974,"0,8061",249720,74,6341919,8625968
Moscou,2021,Eólica,Mineração,Tropical,8237,11,312463,"0,6014",568438,4918,1738607,12914371
Nova York,2020,Gás Natural,Turismo,Desértico,32851,17,393698,"0,5785",867537,1068,8208124,15388184
Los Angeles,2020,Eólica,Mineração,Mediterrâneo,33720,7,328628,"0,3093",894470,2119,6438147,14827346
São Paulo,2016,Nuclear,Manufatura,Desértico,8525,24,362083,"0,3711",43188,3998,116923,15558981
Rio de Janeiro,2023,Carvão,Manufatura,Frio,36100,18,380081,"0,5155",220772,4089,2085661,19551345
Berlim,2021,Solar,Turismo,Mediterrâneo,17343,17,98871,"0,4549",168592,1189,2822544,7156295
Munique,2016,Hidrelétrica,Turismo,Tropical,13272,15,286941,"0,5435",434483,4644,2337229,11148461
Mumbai,2015,Eólica,Manufatura,Temperado,1179,6,285045,"0,2064",24442,487,216698,7494917
Nova Délhi,2018,Carvão,Agronegócio,Frio,9947,5,360247,"0,4924",409577,4126,1344783,5961123
Pequim,2016,Eólica,Tecnologia,Desértico,19147,5,298474,"0,2302",63300,2267,78655,6382373
Xangai,2015,Eólica,Manufatura,Desértico,11150,13,323732,"0,5546",970048,3341,320064,4195081
Tóquio,2023,Eólica,Tecnologia,Mediterrâneo,18979,2,141098,"0,0749",914934,1641,2709119,18912604
Osaka,2016,Hidrelétrica,Tecnologia,Mediterrâneo,9088,17,376705,"0,6718",805670,329,846614,12068099
Londres,2021,Solar,Agronegócio,Desértico,9761,21,179913,"0,4927",199661,3558,842395,18551564
Paris,2019,Eólica,Turismo,Frio,29634,6,293102,"0,0106",427684,1545,229025,2174045
Toronto,2022,Nuclear,Turismo,Mediterrâneo,11131,8,213789,"0,3112",115973,397,273671,2333534
Vancouver,2020,Gás Natural,Financeiro,Mediterrâneo,44587,23,140301,"0,2487",815042,4302,799420,10099739
Sydney,2019,Carvão,Agronegócio,Tropical,6609,11,360926,"0,0566",868465,2677,1632565,13914173
Melbourne,2022,Nuclear,Financeiro,Mediterrâneo,20537,16,55405,"0,4653",421900,2078,4967923,4612929
Cidade do México,2015,Hidrelétrica,Mineração,Tropical,4887,18,349392,"0,3458",497857,2377,48133,4157105
Moscou,2020,Hidrelétrica,Turismo,Tropical,46947,24,328197,"0,4818",516313,4873,5640528,14372451
Nova York,2022,Eólica,Mineração,Frio,3336,22,276284,"0,2493",294832,3928,487355,16447445
Los Angeles,2016,Solar,Financeiro,Frio,31313,12,153279,"0,3563",135435,3964,1502629,15419799
São Paulo,2023,Gás Natural,Financeiro,Mediterrâneo,9465,11,295413,"0,5121",381753,1717,27507,12776617
Rio de Janeiro,2023,Gás Natural,Agronegócio,Frio,19617,14,6051,"0,2914",943876,902,176094,8680540
Berlim,2020,Eólica,Mineração,Temperado,26111,21,292181,"0,3924",606895,3882,306417,2238427
Munique,2020,Eólica,Turismo,Tropical,6185,12,215621,"0,5825",359988,456,333886,17206524
Mumbai,2021,Gás Natural,Financeiro,Temperado,8951,19,132716,"0,0774",501286,495,1645353,14559891
Nova Délhi,2021,Eólica,Agronegócio,Mediterrâneo,43618,14,23951,"0,3561",670765,1256,5231464,13207550
Pequim,2023,Gás Natural,Mineração,Temperado,20440,16,98428,"0,6656",666258,4139,3790854,17881809
Xangai,2015,Nuclear,Tecnologia,Desértico,23842,11,64785,"0,4374",411164,4608,2802933,19414248
Tóquio,2016,Nuclear,Financeiro,Mediterrâneo,18870,17,402478,"0,8838",616730,2542,1717437,4729430
Osaka,2017,Solar,Tecnologia,Frio,10272,9,447212,"0,1813",508261,2601,2422511,5024651
Londres,2017,Eólica,Manufatura,Mediterrâneo,1068,12,135886,"0,5733",275134,3184,113529,14376932
Paris,2020,Eólica,Tecnologia,Temperado,9993,6,346671,"0,6116",30228,504,1981202,5595694
Toronto,2016,Solar,Agronegócio,Mediterrâneo,18772,17,381435,"0,4852",528575,736,4630437,3713924
Vancouver,2020,Nuclear,Agronegócio,Temperado,15569,2,282251,"0,4949",932747,1358,3848223,17400135
Sydney,2019,Gás Natural,Mineração,Desértico,4683,7,410219,"0,3468",786572,257,1159047,6262841
Melbourne,2016,Solar,Turismo,Temperado,20044,21,472998,"0,4071",253948,1184,2287187,16069528
Cidade do México,2017,Eólica,Financeiro,Frio,45979,19,243973,"0,1941",130286,116,7549517,15627971
Moscou,2020,Nuclear,Manufatura,Frio,8938,8,474970,"0,2108",842862,14,2018739,1851581
Nova York,2015,Hidrelétrica,Agronegócio,Tropical,3625,7,384002,"0,1822",560232,3387,751258,12489372
Los Angeles,2023,Hidrelétrica,Turismo,Temperado,30897,25,308332,"0,8855",430605,3286,4372992,6690687
São Paulo,2020,Solar,Manufatura,Mediterrâneo,22473,9,374109,"0,5429",487776,2289,4505842,8330936
Rio de Janeiro,2022,Carvão,Agronegócio,Mediterrâneo,38120,23,69660,"0,6031",507951,1068,2865389,8909829
Berlim,2015,Gás Natural,Financeiro,Mediterrâneo,28192,2,303356,"0,2742",442150,3944,6791979,16023789
Munique,2018,Eólica,Turismo,Frio,15410,23,301197,"0,2259",393514,517,344915,19521228
Mumbai,2017,Solar,Mineração,Frio,45844,1,353411,"0,5338",418501,1013,6411642,8340193
Nova Délhi,2019,Hidrelétrica,Tecnologia,Mediterrâneo,42317,13,394985,"0,3494",514564,982,3770446,2705834
Pequim,2016,Hidrelétrica,Tecnologia,Frio,19138,23,440002,"0,0299",360444,2194,2340084,10834247
Xangai,2016,Hidrelétrica,Turismo,Temperado,40331,5,430226,"0,0723",739763,1905,7475981,7886836
Tóquio,2020,Hidrelétrica,Agronegócio,Mediterrâneo,45715,17,133393,"0,7753",602016,244,1015821,1167928
Osaka,2018,Carvão,Tecnologia,Mediterrâneo,7548,1,205883,"0,6079",558966,2685,1033474,4927927
Londres,2021,Carvão,Mineração,Mediterrâneo,23559,18,490336,"0,4479",580285,2134,1021754,13496762
Paris,2020,Hidrelétrica,Financeiro,Desértico,10679,2,401062,"0,05",594993,4175,1395977,16741983
Toronto,2015,Hidrelétrica,Agronegócio,Temperado,14041,24,91864,"0,5813",208403,4375,452594,18658879
Vancouver,2019,Nuclear,Tecnologia,Mediterrâneo,48403,15,167579,"0,1062",91957,295,9657158,16686900
